institution,country,continent,lat,lon,power,top5_power
"IHEID, Geneva",Switzerland,Europe,46.221057,6.143611,2,0
"INSEAD, Fontainebleau",France,Europe,48.405298,2.686254,2,0
"ISI, New Delhi",India,Asia,28.539641,77.185731,2,0
"Kansas State University, Manhattan, Kansas",USA,North America,39.197311,-96.584639,2,0
"Kansas, Lawrence, Kansas",USA,North America,38.954377,-95.255839,2,0
Kobe,Japan,Asia,34.725861,135.233611,2,0
Kyoto University,Japan,Asia,35.026381,135.780757,2,0
Lancaster University,UK,Europe,54.010341,-2.787751,2,0
Lyon,France,Europe,45.749603,4.837118,2,0
"Max Planck Institute for Research on Collective Goods, Bonn",Germany,Europe,50.717124,7.126406,2,0
"Miami, Coral Gables, Florida",USA,North America,25.72326,-80.279452,2,0
Newcastle,UK,Europe,54.979258,-1.614929,2,0
"Pablo de Olavide University, Seville",Spain,Europe,37.355206,-5.937629,2,0
"Peking University, Beijing",China,Asia,39.987106,116.305895,2,0
"PUC, Santiago",Brasil,South America,-33.442013,-70.640051,2,0
"Quebec, Montreal",Canada,North America,45.512663,-73.560488,2,0
"Queensland, Brisbane",Australia,Australasia,-27.49746,153.013991,2,0
"Resources for the future, Washington DC",USA,North America,38.909661,-77.037614,2,0
"Santa Clara University, Santa Clara, California",USA,North America,37.349655,-121.939213,2,0
"Southwestern University of Finance and Economics, Chengdu",China,Asia,30.663045,104.01629,2,0
Stellenbosch University,South Africa,Africa,-33.932803,18.864468,2,0
"Stony Brook University, Stony Brook, NY",USA,North America,40.912311,-73.123367,2,0
"Technion, Haifa",Israel,Asia,32.761475,35.019647,2,0
"University of Southern Denmark, Odense",Denmark,Europe,55.36912,10.428161,2,0
UT Dallas,USA,North America,32.985708,-96.749906,2,0
"Virginia Polytechnic Institute and State University, Blacksburg, Virginia",USA,North America,37.228307,-80.42347,2,0
"Waikato University, Hamilton",New Zealand,Australasia,-37.786925,175.318243,2,0
"Wellesley College, Wellesley, Massachusetts",USA,North America,42.293454,-71.305992,2,0
"Wyoming, Laramie, Wyoming",USA,North America,41.31496,-105.566607,2,0
"York University, Toronto",Canada,North America,43.773481,-79.501997,2,0
"Amazon, USA",USA,North America,48.164802,-122.279296,1,1
Barcelona GSE,Spain,Europe,41.389881,2.189712,1,1
"IPEG, Barcelona",Spain,Europe,41.390076,2.190352,1,1
Aberdeen,UK,Europe,57.164853,-2.101751,1,0
"Academy of Mathematics and Systems Science, Beijing",China,Asia,39.982534,116.332065,1,0
Adelaide,Australia,Australasia,-34.920605,138.606051,1,0
"Alaska, Anchorage, Alaska",USA,North America,61.191068,-149.819667,1,0
"American University, Washington DC",USA,North America,38.937468,-77.08879,1,0
"Amherst College, Amherst, Massachusetts",USA,North America,42.370799,-72.516992,1,0
"Appalachian State University, Boone, North Carolina",USA,North America,36.213491,-81.683981,1,0
"Auburn, Alabama",USA,North America,32.59332,-85.494908,1,0
Augsburg,Germany,Europe,48.33258,10.896227,1,0
Bamberg,Germany,Europe,49.893917,10.886213,1,0
"Banco Central de Chile, Santiago",Chile,South America,-33.441142,-70.6531,1,0
Bangor,UK,Europe,53.229527,-4.130127,1,0
"Bank of England, London",UK,Europe,51.514375,-0.088436,1,0
"Bank of France, Paris",France,Europe,48.869807,2.342569,1,0
"Barcelona Graduate School of Economics, Barcelona, Spain",Spain,Europe,41.389897,2.189701,1,0
"Bar-Ilan, Tel Aviv",Israel,Asia,32.069381,34.843034,1,0
"Basque Country, Bilbao",Spain,Europe,43.27331,-2.958283,1,0
"Bates College, Lewiston, Maine",USA,North America,44.105683,-70.202594,1,0
"Baylor, Waco, Texas",USA,North America,31.546931,-97.1211,1,0
"Ben Gurion, Beersheba",Israel,Asia,31.262181,34.801525,1,0
"Bilkent, Ankara",Turkey,Asia,39.87531,32.747529,1,0
"Bogazici, Istanbul",Turkey,Europe,41.08487,29.051104,1,0
Brescia,Italy,Europe,45.538055,10.217351,1,0
"Ca'Foscari, Venice",Italy,Europe,45.43441,12.326354,1,0
"Capital University of Economics and Business, Beijing",China,Asia,39.841344,116.316447,1,0
"Catholic University of the Sacred Heart, Milan",Italy,Europe,45.462369,9.177146,1,0
"Chang Gung University, Taoyuan City",Taiwan,Asia,25.033723,121.389247,1,0
"Chulalongkorn University, Bangkok",Thailand,Asia,13.738971,100.53208,1,0
Cincinatti,USA,North America,39.132855,-84.514929,1,0
City University of London,UK,Europe,51.527912,-0.102645,1,0
"CKGSB, Beijing",China,Asia,39.910023,116.416872,1,0
"Claremont McKenna College, Claremont, California",USA,North America,34.101714,-117.708104,1,0
"Clemson, South Carolina",USA,North America,34.673835,-82.836994,1,0
"College de France, Paris",France,Europe,48.849025,2.345565,1,0
"CUNY, New York",USA,North America,40.751007,-73.973553,1,0
"CUNY-Queens College, New York",USA,North America,40.736636,-73.819853,1,0
"Cyprus University of Technology, Lemesos",Cyprus,Europe,34.675326,33.044135,1,0
"Deakin, Geelong",Australia,Australasia,-38.14411,144.360015,1,0
"Deutsche Bundesbank, Research Centre, Frankfurt",Germany,Europe,50.137097,8.659054,1,0
"Duke Kunshan University, Kunshan",China,Asia,31.416198,120.901374,1,0
"Ecole Polytechnique, Palaiseau",France,Europe,48.714425,2.211335,1,0
"Economics and Statistics Research Centre, Malakoff",France,Europe,48.824845,2.303841,1,0
"EHESS, Paris",France,Europe,48.850336,2.326881,1,0
Exeter,UK,Europe,50.737117,-3.535201,1,0
Federal Reserve Board of Governors Washington DC,USA,North America,38.893126,-77.04577,1,0
"Financial Times, London",UK,Europe,51.51248,-0.096001,1,0
"Fordham University, New York",USA,North America,40.861854,-73.886097,1,0
Free University of Berlin,Germany,Europe,52.431427,13.23726,1,0
"Free University of Bozen-Bolzano, Bolzano",Italy,Europe,46.498682,11.350678,1,0
Fribourg,Switzerland,Europe,46.806254,7.152092,1,0
"German Centre for Integrative Biodiversity, Leipzig",Germany,Europe,51.320119,12.395203,1,0
"German Institute for Economic Research, Berlin",Germany,Europe,52.512288,13.388636,1,0
Gerzensee,Switzerland,Europe,46.840421,7.547671,1,0
"Grenoble Alpes, Grenoble",France,Europe,45.191503,5.767197,1,0
Haifa,Israel,Asia,32.761583,35.019433,1,0
"Hangkuk University, Yongin-si",South Korea,Asia,37.597269,127.058775,1,0
"Haverford College, Haverford, Pennsylvania",USA,North America,40.009267,-75.307758,1,0
HEC Montreal,Canada,North America,45.503699,-73.62115,1,0
Helsinki,Finland,Europe,60.172603,24.95104,1,0
Helsinki Graduate School of Economics,Finland,Europe,60.175711,24.928949,1,0
"Henan Agricultural University, Zhengzhou",China,Asia,34.785639,113.663203,1,0
"Hitotsubashi, Kunitachi",Japan,Asia,35.694569,139.445426,1,0
"Hong Kong, Hong Kong",China,Asia,22.283416,114.137707,1,0
"Hoover Institution, Stanford, California",USA,North America,37.427503,-122.166362,1,0
"Iceland, Reykjavik",Iceland,Europe,64.139602,-21.952179,1,0
"Ifo Institute for Economic Research, Munich, Germany",Germany,Europe,48.15314,11.605213,1,0
"IFPRI, Washington DC",USA,North America,38.901644,-77.02839,1,0
"Illinois State University, Normal, Illinois",USA,North America,40.51206,-88.99349,1,0
"Illinois, Chicago",USA,North America,41.869746,-87.64958,1,0
"IMPA, Rio",Brasil,South America,-22.965229,-43.237866,1,0
Innsbruck,Austria,Europe,47.263343,11.383854,1,0
INRA-AgriParisTech,France,Europe,48.841284,2.34777,1,0
"Institute for Economic Analysis, Bellaterra",Spain,Europe,41.501859,2.104451,1,0
"Jaume 1, Castellon de la Plana",Spain,Europe,39.994567,-0.069179,1,0
"Johannes Gutenberg University, Mainz",Germany,Europe,49.992592,8.241555,1,0
"Karlsruhe Insitute of Technology, Garmisch-Partenkirchen",Germany,Europe,49.012212,8.41717,1,0
"KCL, London",UK,Europe,51.511466,-0.116029,1,0
"Kent, Canterbury",UK,Europe,51.297085,1.063056,1,0
"Kentucky, Lexington, Kentucky",USA,North America,38.030545,-84.504184,1,0
"Koc University, Istanbul",Turkey,Europe,41.206056,29.072401,1,0
Konstanz,Germany,Europe,47.689361,9.186835,1,0
"Korea University, Seoul",South Korea,Asia,37.590965,127.027788,1,0
Kyiv School of Economics,Ukraine,Europe,50.455959,30.487742,1,0
"Laval University, Quebec City, Quebec",Canada,North America,46.781699,-71.274732,1,0
"Leibniz University, Hanover",Germany,Europe,52.383085,9.719656,1,0
Leicester,UK,Europe,52.621159,-1.124729,1,0
Limoges,France,Europe,45.826235,1.258477,1,0
"LUISS University, Rome",Italy,Europe,41.919061,12.511785,1,0
Luxembourg,Luxembourg,Europe,49.504706,5.948483,1,0
"Luxembourg Institute of Socio-Economic Research, Esch-Sur-Alzette, Luxembourg",Luxembourg,Europe,49.504265,5.946975,1,0
"Macalester College, Saint Paul, Minnesota",USA,North America,44.937996,-93.169243,1,0
"Manitoba, Winnipeg",Canada,North America,49.807532,-97.136658,1,0
"Massachusetts, Amherst",USA,North America,42.386633,-72.53003,1,0
"Memphis, Tennessee",USA,North America,35.118851,-89.937428,1,0
"Microsoft, Herzliya",Israel,Asia,32.158184,34.808496,1,0
"Middle East Technical University, Ankara",Turkey,Europe,39.892503,32.779505,1,0
"Minho, Braga",Portugal,Europe,41.560808,-8.396205,1,0
"Minnesota Department of Health and Human Services, Saint Paul, Minnesota",USA,North America,44.94877,-93.088988,1,0
"Montana State, Bozeman, Montana",USA,North America,45.667296,-111.054771,1,0
"Montana, Missoula, Montana",USA,North America,46.860097,-113.985165,1,0
Montevideo,Uruguay,South America,-34.897756,-56.160415,1,0
Montpellier Business School,France,Europe,43.621433,3.833573,1,0
Namur,Belgium,Europe,50.466236,4.860439,1,0
Nanchang,China,Asia,28.683656,115.937347,1,0
"Nanjing University of Aeronautics and Astronautics, Nanjing",China,Asia,32.034309,118.82343,1,0
Nanyang Technological University,Singapore,Asia,1.348149,103.682963,1,0
Naples,Italy,Europe,40.845866,14.257487,1,0
"National Chung Cheng University, Chia-Yi",Taiwan,Asia,23.563435,120.472733,1,0
"National Dong Hua University, Shoufeng",Taiwan,Asia,23.897705,121.541673,1,0
"Naval Postgraduate School, Monterey, California",USA,North America,36.597171,-121.874137,1,0
"Navarra IESE Business School, Barcelona",Spain,Europe,41.393827,2.105838,1,0
"Nebraska, Lincoln, Nebraska",USA,North America,40.820144,-96.700745,1,0
"Netherlands Environmental Assessment Agency, Bilthoven",Netherlands,Europe,52.085049,4.328515,1,0
"Norges Bank, Oslo",Norway,Europe,59.908827,10.742325,1,0
"North Carolina, Greensboro, North Carolina",USA,North America,36.068808,-79.810251,1,0
"Norwegian University of Life Sciences, As",Norway,Europe,59.666194,10.768172,1,0
"Oklahoma, Norman, Oklahoma",USA,North America,35.205911,-97.445907,1,0
"Open University of Israel, Ra'anana",Israel,Asia,32.188992,34.887706,1,0
"Oregon State University, Corvallis, Oregon",USA,North America,44.563758,-123.279605,1,0
Ottawa,Canada,North America,45.423095,-75.683154,1,0
Palermo,Italy,Europe,38.117959,13.369838,1,0
"Pandora, Berkeley, California",USA,North America,37.870601,-122.273974,1,0
Paris 1,France,Europe,48.847086,2.344447,1,0
Paris 8,France,Europe,48.944763,2.362975,1,0
Paris-Jourdan Economic Sciences,France,Europe,48.822612,2.330871,1,0
Paris-Saclay University,France,Europe,48.708953,2.152401,1,0
Pavia,Italy,Europe,45.186895,9.156799,1,0
Piraeus,Greece,Europe,37.941708,23.652847,1,0
"Polytechnica University of Marche, Ancona",Italy,Europe,43.618796,13.513649,1,0
"PUC, Sao Paolo",Brasil,South America,-23.537709,-46.671079,1,0
Queen's University Belfast,UK,Europe,54.584365,-5.934178,1,0
RAND Corp Washington Office,USA,North America,38.87762,-77.061537,1,0
"RAND Corporation, Santa Monica, California",USA,North America,34.009862,-118.490794,1,0
"Richmond, Virginia",USA,North America,37.575158,-77.540715,1,0
"Rutgers Business School, Newark, New Jersey",USA,North America,40.745311,-74.170441,1,0
"San Andres, Victoria",Argentina,South America,-34.44616,-58.529799,1,0
"Seoul, Seoul",South Korea,Asia,37.584065,127.058734,1,0
Sheffield,UK,Europe,53.380998,-1.488076,1,0
Shenzhen,China,Asia,22.533283,113.932877,1,0
"Shenzhen Institute of Advanced Technology, Shenzhen",China,Asia,22.597246,113.991407,1,0
Siena,Italy,Europe,43.319322,11.33295,1,0
"SNU, Seoul",South Korea,Asia,37.459946,126.9519,1,0
"Sorbonne, Paris",France,Europe,48.850863,2.341201,1,0
"South Carolina, Columbia, South Carolina",USA,North America,33.993806,-81.030047,1,0
Southampton,UK,Europe,50.935213,-1.395724,1,0
"Southern Methodist University, Dallas",USA,North America,32.841168,-96.784539,1,0
"SUNY - Albany, Albany, NY",USA,North America,42.685384,-73.825626,1,0
"Sussex, Brighton",UK,Europe,50.867089,-0.087978,1,0
"Swiss Finance Insitute, Geneva",Switzerland,Europe,46.195572,6.139752,1,0
"Technische Universitat Wien, Vienna",Austria,Europe,48.198633,16.368387,1,0
"The Economist Magazine, London",UK,Europe,51.504845,-0.0225,1,0
"Tinbergen Institute, Amsterdam",Netherlands,Europe,52.336286,4.874138,1,0
Trinity College Dublin,Ireland,Europe,53.343854,-6.254743,1,0
Tsukuba,Japan,Asia,36.106789,140.1019,1,0
UC Dublin,Ireland,Europe,53.306695,-6.221205,1,0
"University of the Andes, Bogota",Columbia,South America,4.601383,-74.066434,1,0
Uppsala,Sweden,Europe,59.850871,17.629773,1,0
"US EPA, Washington DC",USA,North America,38.892625,-77.02904,1,0
UT El Paso,USA,North America,31.770909,-106.504898,1,0
"Utah State University, Logan, Utah",USA,North America,41.745229,-111.809603,1,0
"Utah, Salt Lake City, Utah",USA,North America,40.764912,-111.842038,1,0
Verona,Italy,Europe,45.436396,11.003091,1,0
Vigo,Spain,Europe,42.169719,-8.684535,1,0
Wageningen,Netherlands,Europe,51.984586,5.665534,1,0
"Waseda, Tokyo",Japan,Asia,35.708868,139.719573,1,0
"William and Mary, Williamsburg, Virginia",USA,North America,37.272517,-76.716496,1,0
"Wisconsin, La Crosse",USA,North America,43.817365,-91.231238,1,0
"Wisconsin, Milwaukee",USA,North America,43.078232,-87.881936,1,0
Wurzburg,Germany,Europe,49.788271,9.935281,1,0
WZB Berlin Social Science Center,Germany,Europe,52.506492,13.365022,1,0
Xiamen,China,Asia,24.437617,118.097823,1,0
