Journal,n_affiliations_editors,journal_geomean_lat_editors,journal_geomean_lon_editors,journal_stdist_linear_km_editors,journal_stdist_linear_deg_editors,n_affiliations_authors,journal_geomean_lat_authors,journal_geomean_lon_authors,journal_stdist_linear_km_authors,journal_stdist_linear_deg_authors,arclen_author_editor,abbr
"AEJ: Applied Economics",32,46.3762611867687,-83.0464310775955,2033,18.28,244,50.8137188767248,-67.8813520830674,3339,30.03,10.941373666389,AEJ-AE
"AEJ: Economic Policy",39,43.2632583023278,-90.3905837472664,1899,17.08,158,52.5456142530021,-71.5199299007178,3437,30.91,15.6127106710129,AEJ-EP
"AEJ: Macroeconomics",19,41.8387675830375,-81.2771909516505,1212,10.9,198,57.1508060834521,-47.2118269936243,3957,35.59,26.4717854267677,AEJ-Macro
"AEJ: Microeconomics",22,41.022280461925,-85.3201394184254,1837,16.52,134,57.5006854538004,-47.27316939501,4199,37.76,29.2155122170776,AEJ-Micro
"AER",87,48.2723945336044,-82.3663851323945,2404,21.62,539,53.5726603773245,-70.4495139409266,3569,32.1,9.17484026325032,AER
"American Journal of Agricultural Economics",36,42.62865288923,-85.7392164604553,1806,16.24,328,52.1324579584211,-78.6237127117995,3738,33.62,10.6432106612754,AJAE
"Econometric Theory",59,58.8580249394341,-50.4129990893187,4210,37.86,161,75.2122300618267,-10.3805334536127,5470,49.19,21.7809618638961,EmTh
"Econometrica",66,48.1505134981635,-82.1410383997773,2876,25.86,394,55.2770105842441,-62.1850047205199,3788,34.07,14.19758065193,Ecmtrca
"Economic Theory",88,55.7562187794967,-74.4443471685189,4411,39.67,499,64.8332096223824,-14.9853512494655,4914,44.19,29.5669140178941,EconTh
"Energy Economics",40,78.8762583330372,2.99012262906472,5679,51.07,2492,62.2893425433662,71.5711754230238,5863,52.73,25.6524576227336,EnEcon
"European Economic Review",80,58.0116453479576,-17.30857769576,3607,32.44,892,60.7370191744809,-5.26789337807832,3780,33.99,6.69936771163929,EER
"Experimental Economics",59,58.5909460043208,-74.068798762561,5427,48.81,362,64.8357027661567,-25.7004648336842,4994,44.91,23.1200192615547,ExpEcon
"Games and Economic Behavior",81,57.8854117624052,-43.4892288323891,4437,39.9,733,67.2453663217223,-20.1344180459444,5072,45.61,14.1077464722659,GEB
"Health Economics",45,62.337999222914,-31.5417852595227,5157,46.38,781,58.4123109043855,-38.1142613780776,4352,39.14,5.09069712882674,HE
"International Economic Review",20,56.7680830452974,-89.4207855401923,4046,36.39,339,64.994547956785,-38.5173725374906,4823,43.37,25.2917670264184,IER
"Journal of Applied Econometrics",64,53.8442778120522,-66.4938020332622,4411,39.67,377,62.0292372859209,-22.8824613260762,4304,38.71,24.0133877257115,JAE
"Journal of Business and Economic Statistics",77,55.4165241559404,-65.4924226189932,3941,35.44,575,73.8656597693212,-26.6425100755976,5563,50.03,23.9763490003228,JBES
"Journal of Development Economics",77,46.6040109971798,-79.0274958964814,2531,22.76,617,63.8799367388941,-51.5892168973726,5268,47.38,22.9478535295991,JDE
"Journal of Econometrics",59,51.6712813982664,-73.3799776745906,3636,32.7,1305,75.0437849741414,-28.136913270685,5620,50.54,29.4732998883474,JEcmtrcs 
"Journal of Economic Behavior and Organization",77,64.9251085988764,-37.1749821790682,5182,46.6,2055,63.6630371274773,-14.4876176536676,4748,42.7,9.86671605512977,JEBO
"Journal of Economic Dynamics and Control",71,59.9113959759661,-59.4669358519776,4726,42.5,654,65.6936518095903,2.13185550385951,4825,43.39,27.5377648838067,JEDC
"Journal of Economic Growth",34,52.4386487404513,-62.4326513586382,3415,30.71,66,49.8915687411707,-37.4628820236817,4750,42.72,15.7819920094676,JEG
"Journal of Economic Literature",33,42.4426002759636,-85.6671084598179,1234,11.1,54,51.0407637928998,-58.2376458241774,2996,26.94,20.5122132162413,JEL
"Journal of Economic Perspectives",16,46.3219925063578,-82.310534145765,2147,19.31,220,52.4448981008417,-61.8632927852805,3121,28.07,14.5853184275628,JEP
"Journal of Economic Theory",51,51.4836035336686,-68.2039618973226,3340,30.04,505,65.6193725845161,-33.737189052749,5007,45.03,22.3928973672493,JET
"Journal of Environmental Economics and Management",64,55.3347191154369,-76.9718797072418,3774,33.94,434,66.7725253153653,-39.6952446685915,4858,43.69,20.8819045918289,JEEM
"Journal of Financial Econometrics",54,54.0888095371278,-57.2348625023536,4111,36.97,95,58.7235131150563,4.41194269714644,3200,28.78,33.1926488998714,JFE
"Journal of Health Economics",50,52.2370990882489,-71.8313987306353,3672,33.02,499,61.2013076964663,-37.568427376023,4315,38.81,20.5133987940511,JHE
"Journal of Human Resources",41,43.2242409483283,-86.460028747476,2236,20.11,44,59.0003381272671,-67.5832428311634,4098,36.85,19.584716747252,JHR
"Journal of International Economics",66,49.7575825603814,-74.3397244674468,2952,26.55,449,62.4020728800336,-46.9499895702213,4612,41.48,19.5761114518819,JIE
"Journal of Labor Economics",23,44.7646787702062,-82.5078656068391,1481,13.32,193,56.9802564296262,-65.7734990626686,3911,35.17,16.059879269423,JLabEcon 
"Journal of Law and Economicsï¿½",7,40.6926380151065,-95.0020069967323,2757,24.79,85,46.6298817776754,-84.3176262426621,3357,30.19,9.73205710583114,JLawEcon 
"Journal of Monetary Economics",47,41.7352449713937,-80.9761002234829,986,8.87,627,58.7257693500418,-50.2243233422726,4186,37.65,25.5934474718612,JME
"Journal of Money, Credit and Banking",83,48.2833831675277,-72.5099667877933,2433,21.88,331,61.9455627703864,-45.098803419931,4757,42.78,20.5171778002908,JMCB
"Journal of Political Economy",23,49.6641355635853,-80.1407254899724,2133,19.18,465,51.9417853148876,-73.9910378751054,3123,28.09,4.50257507650435,JPE
"Journal of Public Economics",28,48.5988983608897,-82.0716041459424,2735,24.6,753,59.3137705468925,-47.3861284870671,3977,35.77,22.6927225730371,JPubEcon 
"Journal of Risk and Uncertainty",39,50.79001542823,-75.1479314714247,3507,31.54,132,55.7736908808374,-51.9312502327716,3971,35.71,14.6642905306344,JRU
"Journal of Urban Economics",61,52.3328842185077,-75.0540557748928,3025,27.2,233,66.5112837974046,-35.0815486257124,4699,42.26,24.1283579342238,JUE
"Journal of the European Economic Association",79,57.9227227459206,-40.8836667784423,3976,35.76,223,59.0946400645702,-21.761586416712,3675,33.05,10.0222011285088,JEEA
"Quantitative Economics",41,46.414840794263,-76.863049122095,2303,20.71,193,58.1487396342493,-53.2637358028298,4065,36.56,18.4364267734311,QE
"Quarterly Journal of Economics",34,45.7913474181622,-82.2140581872207,1926,17.32,182,48.6750826566273,-71.0949178647436,2500,22.48,8.07271883582085,QJE
"RAND Journal of Economics",32,48.6304444905012,-76.4268632633587,2634,23.69,151,63.6990834561412,-52.2590925692888,5219,46.94,19.9572219693468,RAND
"Review of Economic Dynamics",44,45.7127497136858,-83.2802698527223,2073,18.64,345,60.5268921017683,-52.3355920162203,4490,40.38,23.3847215012185,RevEconDyn
"Review of Economic Studies",80,54.7311942243093,-16.5302546301723,2463,22.15,284,52.9055613056911,-66.8683712442769,3525,31.7,29.1305258702791,REStud
"Review of Economics and Statistics",31,41.9645401355014,-92.9886320258399,1933,17.38,229,53.9276749034278,-65.9245341280543,3912,35.18,21.512134165698,REconStat 
"The Economic Journal",43,55.0632420985078,-21.2031427390584,3145,28.28,360,59.6113527611225,-18.9264669018673,4319,38.84,4.71044612381881,EJ
"The Journal of Economic History",25,49.5783375681541,-80.1244123007053,4088,36.76,110,59.862086504967,-42.6113801751297,4766,42.86,23.5637472658449,JEH
"Theoretical Economics",51,53.3406736793011,-64.7051218968349,3961,35.62,163,61.0201628571166,-44.909108028187,4676,42.05,13.1100430429171,ThEcon
